Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:v3_core.expr_bin/3                                                  1       0.672       0.002     
:v3_kernel.ubody/3                                                  17       0.671       0.070     
:beam_jump.opt/3                                                    77       0.671       0.312     
:v3_core.constant_bin/1                                              1       0.670       0.003     
:compile.abstract_code/1                                             1       0.668       0.006     
:v3_core.constant_bin_1/1                                            1       0.667       0.007     
Path.relative_to_cwd/1                                               3       0.658       0.021     
:v3_kernel.match_guard/3                                             5       0.651       0.020     
:erl_lint.check_type/2                                               1       0.647       0.004     
:beam_dead.backward/3                                               73       0.647       0.168     
:v3_kernel.match_guard_1/3                                           5       0.645       0.037     
:beam_clean.bs_function/1                                            7       0.644       0.065     
:sys_core_fold.clause/4                                             10       0.642       0.035     
:v3_core.safe_list/2                                                 5       0.638       0.009     
:v3_codegen.match_fmf/4                                              2       0.638       0.004     
:beam_trim.module/2                                                  2       0.638       0.006     
:erl_lint.check_type/3                                              31       0.636       0.092     
:gb_trees.balance_list/2                                            66       0.635       0.186     
:v3_codegen."-match_cg/5-anonymous-1-"/6                             2       0.634       0.003     
:beam_trim."-module/2-lc$^0/1-0-"/1                                  9       0.632       0.040     
:v3_kernel.uexpr/3                                                   9       0.617       0.058     
:beam_reorder.module/2                                               2       0.613       0.005     
:erl_bits.set_bit_type/2                                            20       0.612       0.071     
:v3_life.match/5                                                    14       0.611       0.084     
:erl_lint.bool_option/4                                             28       0.611       0.051     
:eval_bits.expr_grp/3                                                1       0.610       0.002     
:eval_bits.expr_grp/4                                                7       0.608       0.029     
:beam_reorder."-module/2-lc$^0/1-0-"/1                               9       0.608       0.029     
:beam_jump."-remove_unused_labels/1-anonymous-0-"/2                214       0.607       0.314     
:v3_codegen.cg_call_args/4                                          10       0.606       0.149     
:beam_bsm.module/2                                                   2       0.600       0.012     
:beam_clean.function_replace/3                                      27       0.599       0.066     
:beam_trim.function/1                                                7       0.592       0.041     
:beam_jump.initial_labels/2                                        108       0.584       0.178     
:eval_bits.eval_field/3                                              6       0.579       0.053     
:erl_parse.anno_to_term/1                                            1       0.579       0.004     
:beam_reorder.function/1                                             7       0.579       0.032     
:beam_flatten.module/2                                               2       0.576       0.005     
:elixir_def.unwrap_definitions/2                                     1       0.575       0.010     
:v3_core."-safe_list/2-anonymous-0-"/2                              18       0.572       0.076     
:v3_codegen."-select_cg/6-anonymous-0-"/5                            3       0.572       0.014     
:beam_flatten."-module/2-lc$^0/1-0-"/1                               9       0.571       0.032     
:beam_utils.delete_live_annos/1                                    199       0.570       0.570     
anonymous fn/2 in :erl_lint.check_type/3                            22       0.569       0.036     
:erl_lint.reached_functions/2                                        2       0.565       0.008     
:v3_core.lineno_anno/2                                              49       0.564       0.276     
:erl_lint.reached_functions/4                                       17       0.555       0.082     
anonymous fn/2 in :erl_lint.clauses/2                                5       0.555       0.014     
:elixir_locals.warn_unused_local/3                                   1       0.549       0.002     
:v3_codegen.select_val/5                                             3       0.545       0.009     
:v3_codegen.cg_basic_block/7                                         1       0.545       0.010     
:erl_lint.clause/2                                                   5       0.541       0.062     
:erl_anno.set/3                                                     28       0.541       0.086     
:sys_pre_expand.module_predef_funcs/1                                2       0.539       0.016     
:beam_flatten.function/1                                             7       0.539       0.029     
:sys_pre_expand.forms/2                                             14       0.537       0.042     
:file.get_cwd/0                                                      5       0.537       0.009     
anonymous fn/3 in :elixir_locals.warn_unused_local/3                 1       0.537       0.006     
:beam_clean.replace/3                                              204       0.533       0.318     
anonymous fn/5 in :elixir_module.load_form/5                         1       0.531       0.005     
Module.LocalsTracker.collect_unused_locals/2                         1       0.529       0.007     
:file.call/2                                                         5       0.528       0.026     
:erlang.++/2                                                       467       0.526       0.526     
:beam_a.rename_instrs/1                                             91       0.524       0.396     
:elixir_errors.format_error/2                                        1       0.521       0.001     
:elixir_module.format_error/1                                        1       0.520       0.004     
:gb_trees.enter/3                                                   38       0.517       0.130     
:v3_codegen.clear_dead/3                                            31       0.515       0.135     
:sys_pre_expand."-module_predef_funcs/1-lc$^0/1-0-"/1                6       0.515       0.017     
:elixir_module.add_docs_chunk/4                                      1       0.510       0.006     
:sys_core_fold.let_substs/3                                         10       0.508       0.092     
:erl_lint.function_state/2                                           3       0.507       0.005     
:erl_lint.function/5                                                 3       0.502       0.013     
:beam_lib.scan_beam/3                                                3       0.499       0.007     
:erl_parse.new_anno/1                                                4       0.498       0.011     
:v3_kernel."-match_con_1/4-anonymous-0-"/3                           2       0.495       0.007     
:beam_lib.scan_beam1/2                                               3       0.492       0.011     
:beam_block.blockify/2                                              71       0.491       0.235     
:v3_kernel.match_value/5                                             2       0.488       0.008     
:compile.select_list_passes_1/3                                    110       0.488       0.373     
:eval_bits.make_bit_type/3                                           6       0.485       0.030     
:v3_core.cbody/2                                                     7       0.482       0.019     
:beam_jump.skip_unreachable/3                                       20       0.482       0.045     
:lists.map/2                                                        80       0.481       0.284     
:v3_core.safe/2                                                     18       0.476       0.117     
