Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:binary.split/3                                                      6       0.034       0.034     
:beam_validator."-index_bs_start_match/2-anonymous-0-"/2            28       0.034       0.034     
:beam_type.x_live/2                                                 22       0.034       0.034     
:v3_codegen.select_labels/4                                          4       0.033       0.015     
:sys_pre_expand.pattern_list/2                                      10       0.033       0.027     
:sys_core_fold.bsm_an_1/2                                            2       0.033       0.005     
:lists.usplit_1/5                                                    9       0.033       0.015     
:lists.filter/2                                                      3       0.033       0.005     
:erl_anno.simplify/1                                                28       0.033       0.033     
:erl_anno.default/2                                                 28       0.033       0.033     
:v3_core.uguard/4                                                   16       0.032       0.022     
:v3_codegen.line/1                                                  19       0.032       0.026     
:sys_core_fold."-case_opt_args/5-lc$^0/1-0-"/1                      14       0.032       0.032     
:erlang.send/3                                                      14       0.032       0.032     
:erl_lint.pack_warnings/1                                            4       0.032       0.017     
:erl_lint.check_imports/2                                            2       0.032       0.006     
:elixir_compiler.return_module_name/1                                1       0.032       0.002     
:beam_lib.pad/1                                                     11       0.032       0.011     
:v3_codegen.save_carefully/4                                         2       0.031       0.011     
:lists.rmergel/2                                                     2       0.031       0.008     
:erl_lint.pack_errors/1                                              2       0.031       0.011     
:beam_validator."-validate_src/2-anonymous-0-"/2                     3       0.031       0.006     
:beam_utils.live_join_label/3                                        4       0.031       0.012     
:beam_type.tdb_find/2                                                8       0.031       0.022     
:v3_core.upattern/3                                                 10       0.030       0.022     
:sys_pre_expand.expr_list/2                                          5       0.030       0.019     
:sofs.diff_restrict_n/6                                              7       0.030       0.013     
:erl_lint.func_line_error/3                                          6       0.030       0.016     
:elixir_code_server.cast/1                                           1       0.030       0.018     
:beam_asm.on_load/2                                                  2       0.030       0.006     
:io_lib_format.pcount/1                                              2       0.029       0.002     
:dict.get_bucket_s/2                                                26       0.029       0.029     
:beam_validator.kill_heap_allocation/1                               7       0.029       0.020     
:beam_type.flt_alloc/2                                              24       0.029       0.029     
:beam_bsm.drop_to_label/2                                           21       0.029       0.029     
:v3_life.vdb_update/3                                               26       0.028       0.028     
:v3_kernel.is_atomic/1                                              26       0.028       0.028     
:v3_kernel."-new_clauses/3-anonymous-3-"/2                           3       0.028       0.019     
:v3_core."-lit_list_vars/2-anonymous-0-"/2                           8       0.028       0.012     
:sys_core_fold.bsm_leftmost_1/2                                      7       0.028       0.012     
:sys_core_dsetel.visit_pats/3                                       10       0.028       0.023     
:sets.new/0                                                          7       0.028       0.020     
:proplists.delete/2                                                 11       0.028       0.028     
:maps.size/1                                                        24       0.028       0.028     
:lists."-filter/2-lc$^0/1-0-"/2                                      6       0.028       0.013     
:ets.lookup_element/3                                               20       0.028       0.028     
:erl_lint.vtmerge_pat/2                                             10       0.028       0.017     
:erl_lint.vtmerge/1                                                  1       0.028       0.002     
:erl_lint.check_untyped_records/2                                    2       0.028       0.005     
:erl_expand_records.pattern_list/2                                  10       0.028       0.021     
:erl_expand_records.optimize_is_record/3                             5       0.028       0.014     
:compile."-core_passes/0-anonymous-7-"/1                             2       0.028       0.003     
:beam_dead.shortcut_bs_test/3                                        3       0.028       0.008     
:v3_kernel."-op_vars/1-lc$^0/1-0-"/1                                18       0.027       0.027     
:v3_core."-uexpr/3-anonymous-5-"/2                                   8       0.027       0.012     
:v3_codegen.build_enter/3                                            6       0.027       0.019     
:unicode.characters_to_binary/1                                      4       0.027       0.018     
:sys_core_fold.update_let_types/3                                   10       0.027       0.016     
:sys_core_fold.get_type/2                                            7       0.027       0.019     
:io_lib_format.pcount/2                                             25       0.027       0.027     
:eval_bits.eval_exp_field1/6                                         6       0.027       0.018     
:erl_lint."-not_deprecated/2-lc$^1/1-1-"/3                           4       0.027       0.007     
:beam_jump.drop_upto_label/1                                        21       0.027       0.027     
:beam_block.is_killed_or_used/2                                      4       0.027       0.018     
:v3_life."-expr/3-lc$^0/1-10-"/1                                    10       0.026       0.021     
:v3_kernel."-match_con/4-lc$^0/1-0-"/1                               3       0.026       0.010     
:v3_codegen.sr_merge/2                                               5       0.026       0.018     
:v3_codegen.move_unsaved/4                                          10       0.026       0.015     
:sets.maybe_expand/2                                                 7       0.026       0.019     
:erl_lint.bit_type/4                                                 1       0.026       0.004     
:erl_lint."-compiler_options/1-lc$^0/1-0-"/1                        14       0.026       0.026     
:erl_lint."-check_deprecated/2-lc$^0/1-0-"/3                        14       0.026       0.026     
:elixir_module.get_typespec/2                                        7       0.026       0.016     
:compile."-messages_per_file/1-anonymous-5-"/1                       4       0.026       0.008     
:cerl_clauses.match_list/2                                           8       0.026       0.009     
:cerl.is_lit_list/1                                                 17       0.026       0.026     
:sys_pre_expand."-module/2-lc$^0/1-0-"/1                            14       0.025       0.025     
:sofs.restrict/2                                                     2       0.025       0.003     
:gb_trees.size/1                                                     6       0.025       0.012     
:erl_lint.func_line_warning/3                                        4       0.025       0.020     
:erl_lint."-check_unused_types/2-lc$^0/1-0-"/1                      14       0.025       0.025     
:dict.mk_seg/1                                                      24       0.025       0.025     
:compile.core_transforms/1                                           2       0.025       0.006     
:cerl_sets.new/0                                                    23       0.025       0.025     
:beam_validator.get_fls/1                                           11       0.025       0.025     
:v3_core.lit_list_vars/2                                             4       0.024       0.006     
:gen_server.handle_common_reply/6                                    1       0.024       0.001     
:erl_lint.pattern/5                                                  4       0.024       0.010     
anonymous fn/3 in :erl_lint.expr_list/3                              2       0.024       0.008     
:erl_lint."-disallowed_compile_flags/2-lc$^0/1-0-"/2                14       0.024       0.024     
:erl_lint."-check_unused_records/2-lc$^0/1-0-"/1                    14       0.024       0.024     
:erl_lint."-check_unused_functions/2-lc$^0/1-0-"/1                  14       0.024       0.024     
:erl_expand_records."-compiler_options/1-lc$^0/1-0-"/1              14       0.024       0.024     
:elixir_locals.cleanup/1                                             1       0.024       0.001     
:cerl.type/1                                                        22       0.024       0.024     
:beam_bsm.btb_index_find_start_match/1                               7       0.024       0.014     
:v3_kernel.expand_pat_lit_clause/2                                   3       0.023       0.014     
:sys_core_fold.bsm_leftmost_2/4                                     10       0.023       0.016     
:lists.rkeymerge2_1/6                                                8       0.023       0.013     
:gen_server.terminate/6                                              1       0.023       0.002     
:erl_lint.check_undefined_types/1                                    2       0.023       0.009     
:elixir_locals.if_tracker/2                                          1       0.023       0.001     
:beam_dead.shortcut_any_label/2                                      3       0.023       0.007     
:sys_core_fold.make_var_name/0                                       2       0.022       0.013     
:sofs.set/2                                                          2       0.022       0.007     
:sofs.restrict/4                                                     9       0.022       0.015     
:filename.basename1/3                                               14       0.022       0.022     
:erlang.system_info/1                                               18       0.022       0.022     
:erlang.iolist_to_binary/1                                          17       0.022       0.022     
anonymous fn/3 in :erl_lint.vtupdate/2                               2       0.022       0.009     
:erl_anno.is_filename/1                                             19       0.022       0.022     
:elixir_errors.meta_location/2                                       1       0.022       0.016     
:compile."-transform_module/1-lc$^0/1-0-"/1                         11       0.022       0.022     
:beam_dict.new/0                                                     2       0.022       0.011     
:v3_kernel.translate_match_fail/4                                    1       0.021       0.002     
:v3_kernel.handle_reuse_annos/2                                      2       0.021       0.003     
:v3_codegen.load_vars/2                                              7       0.021       0.012     
:lists.rmerge2_1/4                                                   8       0.021       0.018     
:gen_server.terminate/7                                              1       0.021       0.004     
:ets.new/2                                                           6       0.021       0.021     
:beam_except.translate_1/5                                           1       0.021       0.005     
:beam_dict.fname/2                                                   4       0.021       0.014     
:beam_clean."-rootset/3-lc$^0/1-0-"/1                                9       0.021       0.021     
:v3_kernel."-ubody/3-anonymous-1-"/2                                 4       0.020       0.012     
:v3_kernel."-partition/1-anonymous-0-"/2                             3       0.020       0.009     
:v3_core.is_safe/1                                                  18       0.020       0.020     
:v3_codegen.extend_stack/4                                           1       0.020       0.008     
:sys_core_fold.sub_subst_var/3                                       4       0.020       0.012     
:sets.get_bucket/2                                                   7       0.020       0.013     
:gen_server.cast/2                                                   2       0.020       0.003     
:ets.select/2                                                        4       0.020       0.020     
:erlang.atom_to_list/1                                              16       0.020       0.020     
:erl_expand_records.expr_list/2                                      5       0.020       0.016     
:elixir_def_overridable.overridable/1                                2       0.020       0.008     
:compile.objfile/2                                                   2       0.020       0.005     
:cerl.update_c_clause/4                                             16       0.020       0.020     
:cerl.clause_pats/1                                                 16       0.020       0.020     
:cerl.clause_guard/1                                                16       0.020       0.020     
:v3_kernel.translate_match_fail_1/4                                  1       0.019       0.005     
:v3_kernel.pre_seq/2                                                17       0.019       0.019     
:v3_core.record_anno/2                                               1       0.019       0.004     
:v3_codegen.need_heap_1/2                                           18       0.019       0.019     
:v3_codegen.combine/1                                                9       0.019       0.018     
:v3_codegen."-save_stack/4-lc$^1/1-1-"/1                            17       0.019       0.019     
:sys_core_dsetel."-visit/2-anonymous-3-"/2                           1       0.019       0.002     
:sofs.relative_product1/2                                            2       0.019       0.007     
:orddict.store/3                                                    16       0.019       0.019     
:lists.split_2/5                                                     9       0.019       0.016     
:io_lib_format.field_width/2                                         4       0.019       0.010     
:fprof."-apply_start_stop/4-after$^0/0-0-"/3                         1       0.019       0.004     
:erlang.--/2                                                        14       0.019       0.019     
:elixir_module.get_moduledoc/2                                       1       0.019       0.018     
:dict.fetch_keys/1                                                   4       0.019       0.006     
:compile.expand_opt/2                                               16       0.019       0.019     
:compile."-test_old_inliner/1-anonymous-0-"/1                       18       0.019       0.019     
:compile."-test_core_inliner/1-anonymous-0-"/1                      18       0.019       0.019     
:cerl.is_data/1                                                     16       0.019       0.019     
:beam_lib.open_file/1                                                3       0.019       0.019     
:beam_dead.normalize_op_1/3                                          3       0.019       0.012     
:beam_clean."-module/2-lc$^0/1-0-"/1                                 9       0.019       0.019     
Inspect.Atom.inspect/1                                               1       0.019       0.005     
:v3_life."-expr/3-lc$^0/1-6-"/3                                     11       0.018       0.018     
:v3_kernel."-handle_reuse_annos/2-lc$^0/1-0-"/2                      4       0.018       0.010     
:v3_core.cguard/2                                                   16       0.018       0.018     
:v3_codegen.collect_chain/4                                         16       0.018       0.018     
:sys_core_dsetel."-visit/2-anonymous-4-"/2                           8       0.018       0.010     
anonymous fn/2 in :sets.add_element/2                                7       0.018       0.011     
:ordsets.add_element/2                                              15       0.018       0.018     
:erlang.term_to_binary/1                                             5       0.018       0.018     
:erl_bits.check_size_unit/3                                         13       0.018       0.018     
:compile.mpf/1                                                       4       0.018       0.012     
:compile."-test_core_inliner/1-anonymous-1-"/1                      18       0.018       0.018     
:cerl.is_c_values/1                                                 12       0.018       0.018     
:beam_utils.empty_label_index/0                                      7       0.018       0.011     
:beam_split.make_block/2                                             8       0.018       0.015     
:beam_peep.is_test_redundant/3                                       2       0.018       0.006     
:beam_asm.finalize_fun_table_1/2                                    14       0.018       0.018     
Enum."-reduce/3-lists^foldl/2-0-"/3                                  5       0.018       0.007     
:v3_life."-function/1-lc$^0/1-1-"/1                                 11       0.017       0.017     
:v3_kernel.is_enter_expr/1                                          12       0.017       0.017     
:v3_codegen."-saves/3-lc$^0/1-0-"/3                                 17       0.017       0.017     
:sys_pre_expand."-module/2-lc$^0/1-1-"/1                             7       0.017       0.017     
:gen_server.do_cast/2                                                2       0.017       0.006     
:erlang.spawn_opt/4                                                  1       0.017       0.003     
:erl_lint.check_remote_function/5                                    1       0.017       0.005     
:digraph.check_type/3                                                2       0.017       0.017     
:dict.to_list/1                                                      4       0.017       0.006     
:cerl.clause_body/1                                                 16       0.017       0.017     
:v3_kernel.handle_reuse_anno/2                                       4       0.016       0.012     
:v3_core.annotate_tuple/3                                            1       0.016       0.004     
:v3_codegen.select_val_cg/6                                          2       0.016       0.004     
:sys_core_fold.kill_types2/2                                         4       0.016       0.016     
:sofs.to_external/1                                                 15       0.016       0.016     
:sets.filter_bucket/4                                               16       0.016       0.016     
:erlang.throw/1                                                      9       0.016       0.016     
:erlang.list_to_tuple/1                                             14       0.016       0.016     
:elixir_compiler.options/0                                           2       0.016       0.005     
:compile.report_warnings/1                                           2       0.016       0.011     
:compile."-core_transforms/1-lc$^0/1-0-"/1                          11       0.016       0.016     
:cerl.is_literal/1                                                  14       0.016       0.016     
:zlib.open/0                                                         1       0.015       0.002     
:v3_kernel."-select_bin_con/1-anonymous-0-"/1                        3       0.015       0.012     
:orddict.filter/2                                                   11       0.015       0.013     
:gen_server.try_terminate/3                                          1       0.015       0.004     
:erlang.integer_to_list/1                                           13       0.015       0.015     
:erl_lint.pseudolocals/0                                            12       0.015       0.015     
anonymous fn/2 in :erl_lint.vtmerge/1                                3       0.015       0.005     
:erl_bifs.is_exit_bif/3                                             15       0.015       0.015     
:elixir_module.eval_callbacks/5                                      2       0.015       0.009     
anonymous fn/1 in :elixir_locals.cleanup/1                           1       0.015       0.003     
:dict.store_bkt_val/3                                               12       0.015       0.015     
:compile.outfile/3                                                   2       0.015       0.010     
:v3_core."-constant_bin_1/1-anonymous-0-"/2                         12       0.014       0.014     
:v3_codegen.x0_vars/4                                                1       0.014       0.007     
:v3_codegen.cg_reg_args/2                                            1       0.014       0.002     
:v3_codegen."-cg_fun/7-anonymous-0-"/2                               4       0.014       0.009     
:sofs.restrict/5                                                     5       0.014       0.007     
:sofs.family_specification/2                                         2       0.014       0.007     
:proc_lib.exit_p/2                                                   1       0.014       0.004     
:lists.seq/2                                                         4       0.014       0.009     
:io_lib_format.term/5                                                1       0.014       0.014     
:erl_lint.vtnew/2                                                    5       0.014       0.008     
:erl_lint.guard/3                                                    5       0.014       0.009     
:erl_expand_records.opt_rec_vars/1                                   5       0.014       0.009     
:erl_expand_records.expr_bin/2                                       1       0.014       0.002     
:erl_bits.as_list/1                                                 12       0.014       0.014     
:elixir_module.compile_opts/1                                        1       0.014       0.008     
anonymous fn/6 in :elixir_module.attributes_form/4                   4       0.014       0.010     
:dict.is_key/2                                                       1       0.014       0.005     
:dict.find_val/2                                                    13       0.014       0.014     
:dict.fetch_val/2                                                   14       0.014       0.014     
:compile.pass/1                                                      9       0.014       0.014     
:cerl.case_clauses/1                                                14       0.014       0.014     
:beam_validator.check_limit/1                                       11       0.014       0.014     
:beam_type.verify_type/1                                            12       0.014       0.014     
:beam_type.tdb_kill_xregs/1                                         10       0.014       0.014     
:beam_lib.check_chunks/4                                             2       0.014       0.010     
:beam_flatten.norm/1                                                11       0.014       0.014     
:zlib.deflateEnd/1                                                   1       0.013       0.001     
:zlib."-compress/1-after$^0/0-0-"/1                                  1       0.013       0.002     
:v3_codegen.max_reg/1                                                1       0.013       0.003     
:v3_codegen.allocate_x0/3                                            3       0.013       0.010     
:sys_pre_expand."-module/2-anonymous-2-"/2                          12       0.013       0.013     
:sys_core_dsetel.bind_vars/3                                        11       0.013       0.013     
:maps.to_list/1                                                     12       0.013       0.013     
:maps.put/3                                                         11       0.013       0.013     
:filename.maybe_remove_dirsep/2                                      2       0.013       0.003     
:erlang.open_port/2                                                  1       0.013       0.003     
:erl_lint.start_state/2                                              2       0.013       0.009     
:erl_lint.imported/3                                                 3       0.013       0.009     
:elixir_def.setup/1                                                  1       0.013       0.003     
:beam_validator."-valfun_4/2-lc$^0/1-0-"/2                           5       0.013       0.013     
:beam_dict."-import_table/1-lc$^0/1-0-"/1                            6       0.013       0.013     
:beam_asm.flatten_exports/1                                          2       0.013       0.009     
:beam_asm.build_form/2                                               2       0.013       0.008     
Module.LocalsTracker.handle_call/3                                   2       0.013       0.008     
:v3_codegen."-select_val_cg/6-lc$^0/1-0-"/2                          5       0.012       0.012     
:v3_codegen."-cg_reg_args/2-lc$^0/1-0-"/2                            3       0.012       0.007     
:unicode.characters_to_binary/2                                      5       0.012       0.012     
:sys_pre_expand.get_optional_callbacks/1                             2       0.012       0.005     
:sys_core_fold.opt_simple_let_2/7                                   10       0.012       0.012     
:sys_core_fold.matches_data/2                                       10       0.012       0.012     
:sofs.relprod/2                                                      2       0.012       0.007     
:sofs.rel2family/1                                                   9       0.012       0.012     
:sofs.family_to_relation/1                                           2       0.012       0.006     
:sofs.converse/1                                                     2       0.012       0.006     
:filename.major_os_type/0                                            2       0.012       0.004     
:erlang.whereis/1                                                    9       0.012       0.012     
:elixir_module.specs_attributes/2                                    1       0.012       0.005     
:elixir_def_overridable.setup/1                                      1       0.012       0.002     
anonymous fn/3 in :dict.append/3                                     3       0.012       0.005     
:cerl.lit_list_vals/1                                                7       0.012       0.012     
:cerl.c_let/3                                                       10       0.012       0.012     
:beam_validator.merge_regs_1/2                                       6       0.012       0.012     
:zlib.close/1                                                        1       0.011       0.003     
:v3_life.literal/2                                                   8       0.011       0.011     
:v3_kernel.new_var_name/1                                            1       0.011       0.006     
:v3_core."-module/2-anonymous-0-"/1                                  7       0.011       0.011     
:v3_codegen.top_level_block/4                                       10       0.011       0.011     
:v3_codegen.find_reg/2                                               8       0.011       0.011     
:sys_core_fold.will_fail/1                                          10       0.011       0.011     
:sys_core_fold.useless_call/2                                        9       0.011       0.011     
:sys_core_fold.update_let_types_1/3                                 10       0.011       0.011     
:sys_core_fold.move_let_into_expr/3                                 10       0.011       0.011     
:sys_core_fold.get_line/1                                            8       0.011       0.011     
:orddict.erase/2                                                    10       0.011       0.011     
:lists.rkeymerge2_2/7                                                3       0.011       0.008     
:erl_lint.merge_lines/2                                              2       0.011       0.003     
:elixir_env.env_to_scope_with_vars/2                                 1       0.011       0.007     
:elixir.quoted_to_erl/3                                              1       0.011       0.004     
:compile.effects_code_generation/1                                   7       0.011       0.011     
:beam_asm.set_vsn_attribute/2                                        2       0.011       0.008     
Module.LocalsTracker.terminate/2                                     1       0.011       0.011     
anonymous fn/3 in Module.LocalsTracker.collect_imports_confl         1       0.011       0.003     
Inspect.Atom.valid_ref_identifier?/1                                 1       0.011       0.001     
:v3_kernel.select_bin_int/1                                          2       0.010       0.004     
:v3_kernel.maybe_add_warning/3                                      10       0.010       0.010     
:v3_core.guard/2                                                     9       0.010       0.010     
:sys_core_fold.case_expand_var/2                                     2       0.010       0.007     
:sys_core_fold."-let_substs/3-lc$^0/1-0-"/1                         10       0.010       0.010     
:erts_internal.open_port/2                                           1       0.010       0.010     
:erl_lint.vtmerge/2                                                  3       0.010       0.006     
:erl_lint.check_local_opaque_types/1                                 2       0.010       0.004     
anonymous fn/7 in :erl_lint.value_option/7                           9       0.010       0.010     
anonymous fn/5 in :erl_lint.check_specs_without_function/1           1       0.010       0.003     
:erl_internal.op_type/2                                              5       0.010       0.010     
:erl_bifs.is_pure/3                                                  9       0.010       0.010     
:elixir_module.get_docs/1                                            1       0.010       0.002     
:elixir_errors.warning_prefix/0                                      1       0.010       0.003     
:elixir_def_overridable.overridable/2                                1       0.010       0.004     
:elixir_def.reset_last/1                                             1       0.010       0.003     
:beam_validator.index_bs_start_match_1/3                             7       0.010       0.010     
:beam_dict."-literal_table/1-anonymous-1-"/3                         2       0.010       0.005     
:beam_dict."-line_table/1-lc$^0/1-0-"/1                              5       0.010       0.010     
Inspect.Atom.valid_ref_piece?/1                                      2       0.010       0.004     
:zlib.collect/1                                                      1       0.009       0.002     
:v3_life."-expr/3-lc$^0/1-7-"/1                                      7       0.009       0.009     
:v3_kernel.match_vars/2                                              2       0.009       0.005     
:v3_kernel.clause_val/1                                              3       0.009       0.005     
:v3_kernel.build_match/2                                             2       0.009       0.007     
:v3_codegen.put_reg_1/3                                              6       0.009       0.009     
:v3_codegen."-block_cg/4-anonymous-0-"/2                             7       0.009       0.009     
:unicode.characters_to_list/2                                        6       0.009       0.009     
:eval_bits.eval_exp_field/6                                          6       0.009       0.009     
:erl_lint.keyword_warning/3                                          8       0.009       0.009     
:erl_lint.exports/1                                                  2       0.009       0.006     
:elixir_module.warn_unused_docs/4                                    2       0.009       0.006     
:cerl.values_es/1                                                    6       0.009       0.009     
:cerl.make_list/1                                                    1       0.009       0.002     
:beam_flatten.move_past_kill/3                                       8       0.009       0.009     
:beam_except.dig_out/2                                               1       0.009       0.002     
:beam_asm.encode_line_items/2                                        3       0.009       0.006     
:beam_asm."-build_file/8-anonymous-2-"/1                             7       0.009       0.009     
Module.LocalsTracker.stop/1                                          1       0.009       0.001     
:v3_kernel."-module/2-anonymous-0-"/1                                7       0.008       0.008     
:v3_codegen.trap_bif/3                                               6       0.008       0.008     
:v3_codegen.save_carefully/3                                         2       0.008       0.006     
:v3_codegen."-save_carefully/4-lc$^0/1-0-"/4                         6       0.008       0.008     
:sys_pre_expand."-bin_expand_strings/1-anonymous-0-"/5               6       0.008       0.008     
:sys_core_fold.move_case_into_arg/2                                  7       0.008       0.008     
:sys_core_fold.case_opt_arg_1/3                                      2       0.008       0.006     
:sys_core_fold."-sub_subst_var/3-lc$^0/1-0-"/3                       6       0.008       0.008     
:sofs.rel_type/3                                                     2       0.008       0.006     
:sets.mk_seg/1                                                       7       0.008       0.008     
:proc_lib.make_dummy_args/2                                          2       0.008       0.005     
:proc_lib.get_my_name/0                                              1       0.008       0.003     
:gen_server.do_send/2                                                2       0.008       0.005     
:erlang.port_close/1                                                 1       0.008       0.002     
:erlang.exit/1                                                       4       0.008       0.008     
:erl_lint.pat_var/5                                                  1       0.008       0.006     
:erl_lint.obsolete_builtin_type/1                                    7       0.008       0.008     
:erl_lint.auto_import_suppressed/1                                   2       0.008       0.005     
:erl_lint."-check_option_functions/4-lc$^4/1-4-"/2                   6       0.008       0.008     
:erl_expand_records.pattern/2                                        4       0.008       0.007     
:erl_bits.check_unit/1                                               7       0.008       0.008     
:erl_bifs.is_safe/3                                                  6       0.008       0.008     
:elixir_utils.elixir_to_erl/1                                        4       0.008       0.007     
anonymous fn/2 in :elixir_module.add_info_function/6                 8       0.008       0.008     
:elixir_compiler.format_warnings/2                                   2       0.008       0.005     
:digraph.out_neighbours/2                                            1       0.008       0.005     
:digraph.in_neighbours/2                                             1       0.008       0.004     
:compile."-beam_asm/1-anonymous-1-"/1                                7       0.008       0.008     
:beam_validator."-validate_3/7-lc$^0/1-0-"/2                         7       0.008       0.008     
:zlib.collect/2                                                      2       0.007       0.003     
:v3_life.vdb_update_vars/3                                           3       0.007       0.007     
:v3_kernel.build_select/2                                            2       0.007       0.005     
:v3_kernel.build_alt/2                                               5       0.007       0.007     
:v3_codegen.func_vars/1                                              6       0.007       0.007     
:v3_codegen.add_vls/3                                                5       0.007       0.007     
:sys_pre_expand.pattern/2                                            4       0.007       0.006     
:sys_core_fold.update_types_2/3                                      7       0.007       0.007     
:sofs.fam_spec/4                                                     2       0.007       0.003     
:sets.get_bucket_s/2                                                 7       0.007       0.007     
:sets.add_bkt_el/3                                                   7       0.007       0.007     
:orddict.to_list/1                                                   6       0.007       0.007     
:maps.get/2                                                          7       0.007       0.007     
:io.io_request/2                                                     1       0.007       0.004     
:ets.match/2                                                         1       0.007       0.007     
:erl_lint.deprecated_function/5                                      1       0.007       0.003     
anonymous fn/2 in :erl_expand_records.expr_bin/2                     1       0.007       0.002     
:dict.append_bkt/3                                                   4       0.007       0.007     
:cerl.ann_make_list/3                                                2       0.007       0.005     
:beam_utils.live_regs_1/2                                            7       0.007       0.007     
:beam_lib."-read_chunk_data/3-after$^0/0-0-"/1                       1       0.007       0.003     
:beam_except.dig_out_block_fc/1                                      1       0.007       0.003     
:beam_dict."-literal_table/1-lc$^0/1-0-"/1                           4       0.007       0.007     
:beam_dead.prune_redundant/2                                         3       0.007       0.007     
:beam_dead.get_literal/1                                             6       0.007       0.007     
:application.get_env/2                                               1       0.007       0.002     
:v3_kernel.subst_vsub/3                                              4       0.006       0.006     
:v3_kernel."-uexpr/3-anonymous-23-"/2                                1       0.006       0.004     
:v3_kernel."-match_var/4-anonymous-1-"/3                             2       0.006       0.002     
:v3_codegen.make_reservation/2                                       3       0.006       0.006     
:v3_codegen.longest/2                                                6       0.006       0.006     
:v3_codegen.find_loc/3                                               4       0.006       0.006     
:sofs.is_element_type/1                                              2       0.006       0.004     
:sofs.family2rel/2                                                   2       0.006       0.004     
:sofs.converse/2                                                     2       0.006       0.004     
:maps.remove/2                                                       6       0.006       0.006     
:ets.delete/1                                                        3       0.006       0.006     
:erts_internal.port_close/1                                          1       0.006       0.006     
:erl_lint.warn_unused_vars/3                                         5       0.006       0.006     
:erl_lint."-check_option_functions/4-lc$^3/1-3-"/1                   6       0.006       0.006     
:erl_expand_records.guard/2                                          5       0.006       0.006     
:elixir_module.macros_clause/1                                       1       0.006       0.004     
:elixir_module.get_callback_docs/1                                   1       0.006       0.002     
:beam_validator.verify_y_init_1/1                                    5       0.006       0.006     
:beam_validator.verify_no_ct/1                                       5       0.006       0.006     
:beam_peep.prune_redundant_values/2                                  3       0.006       0.006     
Inspect.Atom.valid_identifier?/1                                     6       0.006       0.006     
:v3_life."-expr/3-lc$^0/1-3-"/1                                      4       0.005       0.005     
:v3_kernel.expand_pat_lit/2                                          2       0.005       0.003     
:v3_kernel."-ubody/3-anonymous-0-"/2                                 1       0.005       0.003     
:v3_kernel."-match_var/4-anonymous-0-"/3                             2       0.005       0.003     
:v3_codegen."-extend_stack/4-lc$^0/1-0-"/4                           3       0.005       0.005     
:sys_pre_expand.guard/2                                              5       0.005       0.005     
:sys_pre_expand."-module_attrs/1-lc$^0/1-0-"/1                       3       0.005       0.005     
:sys_pre_expand."-get_optional_callbacks/1-lc$^0/1-0-"/1             3       0.005       0.005     
:sys_core_fold.eval_case_warn/1                                      5       0.005       0.005     
:sys_core_fold."-call_1/5-lc$^0/1-0-"/2                              5       0.005       0.005     
:sys_core_dsetel.visit_pat/3                                         5       0.005       0.005     
:sys_core_dsetel."-visit/2-anonymous-7-"/2                           2       0.005       0.003     
:sofs.relation/1                                                     4       0.005       0.005     
:proc_lib.proc_info/2                                                1       0.005       0.003     
:lists.seq_loop/3                                                    4       0.005       0.005     
:lists.mergel/2                                                      5       0.005       0.005     
:lists.keymember/3                                                   4       0.005       0.005     
:io_lib_format.pad_char/2                                            4       0.005       0.005     
:io_lib_format.field_width/3                                         4       0.005       0.005     
:io_lib.write/2                                                      1       0.005       0.003     
:gen_server.try_dispatch/3                                           1       0.005       0.001     
:gen.debug_options/2                                                 1       0.005       0.004     
:erlang.port_command/2                                               1       0.005       0.002     
:erl_lint.guard_tests/3                                              5       0.005       0.005     
:erl_lint.bit_size_check/4                                           1       0.005       0.003     
:erl_lint."-pack_warnings/1-lc$^1/1-0-"/2                            4       0.005       0.005     
:erl_lint."-pack_warnings/1-lc$^0/1-2-"/1                            4       0.005       0.005     
:erl_internal.guard_bif/2                                            5       0.005       0.005     
:erl_expand_records.bin_element/2                                    1       0.005       0.004     
:elixir_translator.translate/2                                       1       0.005       0.004     
:elixir_module.optional_callbacks_attributes/2                       1       0.005       0.002     
:elixir_module.get_type_docs/1                                       1       0.005       0.002     
:elixir_module.functions_clause/1                                    1       0.005       0.003     
:digraph.collect_elems/3                                             2       0.005       0.003     
:cerl.is_c_var/1                                                     4       0.005       0.005     
:beam_validator."-init_regs/2-lc$^0/1-0-"/2                          4       0.005       0.005     
:beam_dead.update_value_dict/3                                       3       0.005       0.005     
:beam_dead.shortcut_label/2                                          1       0.005       0.002     
:beam_asm."-build_file/8-anonymous-1-"/1                             4       0.005       0.005     
:application_controller.get_env/2                                    1       0.005       0.003     
:zlib.reverse/1                                                      1       0.004       0.002     
:v3_life."-expr/3-lc$^0/1-11-"/1                                     2       0.004       0.004     
:v3_kernel.get_match/2                                               3       0.004       0.004     
:v3_kernel.get_con/1                                                 3       0.004       0.004     
:v3_kernel.force_variable/2                                          2       0.004       0.004     
:v3_kernel.attributes/1                                              3       0.004       0.004     
:v3_kernel.arg_val/2                                                 3       0.004       0.004     
:v3_codegen."-x0_vars/4-lc$^0/1-0-"/3                                3       0.004       0.004     
:sys_pre_expand.module_predef_func_beh_info/1                        2       0.004       0.004     
:sys_pre_expand."-module_attrs/1-lc$^1/1-1-"/1                       3       0.004       0.004     
