Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:gb_trees.get_1/2                                                   30       0.030       0.030     
:erl_lint.check_deprecated/2                                         1       0.030       0.005     
:erl_anno.anno_info/2                                                5       0.030       0.014     
:beam_type.flt_liveness_1/3                                          9       0.030       0.014     
:v3_kernel.partition/1                                               3       0.029       0.009     
:gb_trees.is_defined_1/2                                            29       0.029       0.029     
:compile."-core_passes/0-anonymous-3-"/1                             1       0.029       0.001     
:beam_validator.verify_call_args/3                                   2       0.029       0.002     
:beam_type.opt_fmoves/2                                             17       0.029       0.017     
:beam_type.flt_need_heap_2/3                                        13       0.029       0.021     
:v3_core.new_var_name/1                                              4       0.028       0.016     
:v3_core.lit_vars/2                                                 17       0.028       0.017     
:v3_codegen.local_func_label/2                                       4       0.028       0.012     
:sys_core_fold.is_bool_expr/2                                        4       0.028       0.008     
:sys_core_fold."-let_substs/3-anonymous-1-"/2                        2       0.028       0.002     
:sys_core_fold."-case_will_var_match/1-anonymous-0-"/1               3       0.028       0.006     
:lists.flatten/1                                                     7       0.028       0.007     
:filename.separators/0                                               3       0.028       0.018     
:compile.test_old_inliner/1                                          2       0.028       0.002     
:beam_clean.label/2                                                  4       0.028       0.008     
:lists.keysplit_1/8                                                  5       0.027       0.007     
:beam_validator.verify_call_args_1/2                                 5       0.027       0.008     
:beam_asm."-finalize_fun_table/2-lc$^0/1-0-"/2                       7       0.027       0.021     
:beam_asm."-build_file/8-lc$^0/1-0-"/1                               7       0.027       0.021     
:v3_kernel."-match_pre/3-anonymous-0-"/3                             2       0.026       0.004     
:v3_codegen.gen_moves/4                                             12       0.026       0.014     
:sys_core_fold.sub_set_name/3                                        2       0.026       0.014     
:sets.get_slot/2                                                     8       0.026       0.018     
:maps.from_list/1                                                   25       0.026       0.026     
:erl_bits.type_to_record/1                                          24       0.026       0.025     
:dict.maybe_expand_aux/2                                             8       0.026       0.018     
anonymous fn/2 in :dict.from_list/1                                  1       0.026       0.001     
:beam_z.undo_rename/1                                               26       0.026       0.026     
:v3_core."-used_in_any/1-anonymous-0-"/2                            12       0.025       0.013     
:maps.find/2                                                        25       0.025       0.025     
:lists.umerge2_2/4                                                   6       0.025       0.008     
:lists.partition/2                                                   4       0.025       0.005     
:erl_lint.local_functions/1                                          1       0.025       0.002     
:core_lib.make_values/1                                             25       0.025       0.025     
:compile."-beam_asm/1-lc$^0/1-0-"/1                                  4       0.025       0.022     
:cerl_clauses.match_1/3                                              3       0.025       0.011     
:beam_utils.x_dead/2                                                25       0.025       0.025     
:beam_jump.insert_fc_labels/2                                       10       0.025       0.020     
:beam_dict.line_table/1                                              1       0.025       0.010     
:beam_dict.lambda_table/1                                            1       0.025       0.010     
:beam_block.opt_alloc/1                                             14       0.025       0.024     
:v3_kernel."-group_value/2-anonymous-0-"/2                           1       0.024       0.002     
:v3_codegen.save_carefully/4                                         2       0.024       0.008     
:sys_pre_expand.bin_expand_strings/1                                 1       0.024       0.001     
:sys_core_fold."-warn_no_clause_match/2-anonymous-1-"/1              4       0.024       0.004     
:sofs.atoms_only/2                                                  20       0.024       0.024     
:erl_lint.vtupdate/2                                                12       0.024       0.012     
:erl_lint."-disallowed_compile_flags/2-lc$^2/1-2-"/2                 7       0.024       0.024     
:erl_lint."-check_option_functions/4-lc$^1/1-1-"/4                   6       0.024       0.006     
:beam_utils."-live_opt/1-anonymous-0-"/1                            24       0.024       0.024     
:v3_codegen.enter_line/3                                             3       0.023       0.009     
:v3_codegen."-clear_dead_stk/3-lc$^0/1-0-"/3                        23       0.023       0.023     
:proplists.delete/2                                                  5       0.023       0.023     
:erl_lint.bif_clashes/2                                              1       0.023       0.005     
:beam_validator.validate_fun_info_branches_1/3                       6       0.023       0.010     
:v3_kernel.pattern/4                                                 4       0.022       0.013     
:v3_kernel."-uexpr/3-anonymous-15-"/2                                5       0.022       0.011     
:os.type/0                                                           6       0.022       0.015     
:lists.umerge2_1/5                                                  10       0.022       0.014     
:gb_trees.keys/1                                                     4       0.022       0.004     
:compile."-messages_per_file/1-anonymous-3-"/2                       3       0.022       0.003     
:v3_kernel.select_bin_con/1                                          1       0.021       0.002     
:v3_kernel.op_vars/1                                                 3       0.021       0.006     
:v3_core.force_safe/2                                                7       0.021       0.014     
:sys_core_fold.sub_get_var/2                                         7       0.021       0.014     
:sys_core_fold.add_warning/2                                         3       0.021       0.006     
:lists.rumergel/3                                                    5       0.021       0.011     
:lists.keysplit_1_1/10                                               1       0.021       0.002     
:lists.do_flatten/2                                                 14       0.021       0.021     
:gb_trees.update/3                                                   7       0.021       0.014     
:gb_trees.empty/0                                                   21       0.021       0.021     
:erl_anno.location/1                                                21       0.021       0.021     
:erl_anno.generated/1                                               21       0.021       0.021     
:compile."-standard_passes/0-anonymous-0-"/1                         1       0.021       0.001     
:beam_bsm.btb_index_2/4                                              4       0.021       0.010     
:beam_block.opt_move_1/3                                             9       0.021       0.011     
:beam_asm.chunk/2                                                    6       0.021       0.012     
:sys_pre_expand."-bin_expand_strings/1-anonymous-1-"/2               1       0.020       0.001     
:sys_core_fold.opt_not_in_let/1                                      6       0.020       0.008     
:sys_core_fold.is_compiler_generated/1                               4       0.020       0.012     
:sys_core_fold.is_boolean_type/2                                     4       0.020       0.008     
:sys_core_fold.guard/2                                               5       0.020       0.010     
:sys_core_fold."-warn_no_clause_match/2-anonymous-0-"/1              4       0.020       0.012     
:lists.partition/4                                                   4       0.020       0.012     
:erl_lint.return_status/1                                            1       0.020       0.003     
:erl_lint.nowarn_function/2                                          2       0.020       0.005     
:erl_lint.initially_reached/1                                        1       0.020       0.003     
:dict.append/3                                                       1       0.020       0.003     
:compile.transform_module/1                                          1       0.020       0.005     
:v3_codegen.load_arg_regs/3                                         12       0.019       0.019     
:sofs.family_specification/2                                         1       0.019       0.017     
:lists.unzip/1                                                       3       0.019       0.003     
:lists.flatmap/2                                                     3       0.019       0.009     
:erl_expand_records.exprs/2                                          4       0.019       0.008     
:beam_flatten.norm_block/2                                           9       0.019       0.014     
:beam_dead.shortcut_rel_op/4                                         1       0.019       0.002     
:v3_life.vdb_find/2                                                  6       0.018       0.012     
:v3_codegen.saves/3                                                  9       0.018       0.009     
:v3_codegen.collect_block/1                                          6       0.018       0.012     
:sys_core_fold.sub_is_val/2                                          6       0.018       0.012     
:sys_core_fold.opt_not_in_let/3                                      8       0.018       0.013     
:sys_core_fold.opt_case_in_let/1                                     6       0.018       0.012     
:orddict.new/0                                                      18       0.018       0.018     
:lists.rkeymergel/4                                                  2       0.018       0.005     
:gb_trees.keys/2                                                    12       0.018       0.018     
:eval_bits.eval_exp_field1/6                                         6       0.018       0.012     
:cerl_sets.add_element/2                                            18       0.018       0.018     
:beam_validator.get_move_term_type/2                                 5       0.018       0.010     
:v3_core."-new_in_any/1-anonymous-0-"/2                              8       0.017       0.009     
:sofs.image/2                                                        1       0.017       0.003     
:proplists.get_value/3                                              16       0.017       0.017     
:orddict.merge/3                                                    17       0.017       0.017     
:filename.pathtype/1                                                 2       0.017       0.006     
:erl_lint.vtmerge/1                                                  1       0.017       0.001     
:erl_lint.head/3                                                     2       0.017       0.002     
:erl_lint."-not_deprecated/2-lc$^0/1-0-"/1                           7       0.017       0.010     
:erl_anno.new_location/1                                            17       0.017       0.017     
:v3_core."-uexpr/3-anonymous-4-"/2                                   4       0.016       0.004     
:sys_pre_expand.attribute/4                                          3       0.016       0.007     
:sys_core_fold.fold_call/5                                           4       0.016       0.004     
:sofs.relation_to_family/1                                           5       0.016       0.011     
:sofs.rel/4                                                         15       0.016       0.016     
:sofs.drestriction/2                                                 1       0.016       0.001     
:sets.fold_bucket/3                                                 16       0.016       0.016     
:proplists.get_value/2                                               4       0.016       0.004     
:proplists.get_bool/2                                               15       0.016       0.016     
:orddict.find/2                                                     16       0.016       0.016     
:lists.unzip/3                                                       4       0.016       0.010     
:lists.append/1                                                     10       0.016       0.014     
:erl_lint.compiler_options/1                                         1       0.016       0.002     
:erl_lint.check_unused_vars/3                                        2       0.016       0.004     
:erl_lint.bit_type/4                                                 1       0.016       0.002     
:dict.get_bucket_s/2                                                15       0.016       0.016     
anonymous fn/3 in :dict.store/3                                      7       0.016       0.009     
:beam_validator."-index_bs_start_match/2-anonymous-0-"/2            16       0.016       0.016     
:v3_life.call_op/1                                                   3       0.015       0.009     
:v3_kernel.lit_vars/1                                               12       0.015       0.014     
:v3_kernel.is_var_clause/1                                           5       0.015       0.010     
:v3_kernel.arg_con/1                                                15       0.015       0.015     
:v3_kernel."-match_var/4-anonymous-2-"/2                             1       0.015       0.004     
:v3_codegen.line/1                                                  10       0.015       0.011     
:v3_codegen.extend_stack/4                                           1       0.015       0.006     
:v3_codegen."-save_stack/4-lc$^0/1-0-"/4                            15       0.015       0.015     
:sys_core_fold.sub_new/1                                             3       0.015       0.009     
:sys_core_fold.should_suppress_warning/1                             3       0.015       0.009     
:sys_core_fold.make_vars/3                                           4       0.015       0.007     
:sys_core_dsetel.restore_vars/3                                      9       0.015       0.012     
:sofs.drestriction/3                                                 1       0.015       0.003     
:erl_lint.value_option/7                                             1       0.015       0.001     
:erl_lint.pre_scan/2                                                 7       0.015       0.009     
:erl_lint.head/4                                                     3       0.015       0.007     
:compile.select_list_passes/2                                        3       0.015       0.004     
:compile."-core_passes/0-anonymous-1-"/1                             1       0.015       0.001     
:beam_split.split_block/3                                            9       0.015       0.009     
:beam_dict.fname/2                                                   3       0.015       0.011     
:beam_bsm.drop_to_label/2                                           12       0.015       0.015     
:beam_asm.build_attributes/4                                         1       0.015       0.005     
:zlib.open/0                                                         1       0.014       0.002     
:v3_life.vdb_update/3                                               13       0.014       0.014     
:v3_kernel.call_type/3                                               2       0.014       0.004     
:v3_codegen.unsaved_registers/5                                      5       0.014       0.005     
:sys_core_fold.update_types_1/3                                      5       0.014       0.008     
:lists.usplit_1/5                                                    6       0.014       0.006     
:erl_lint.check_callback_information/1                               1       0.014       0.004     
:erl_expand_records.compiler_options/1                               1       0.014       0.002     
:beam_validator.deallocate/1                                         2       0.014       0.008     
:beam_asm.filter_essentials/1                                        8       0.014       0.014     
:v3_life.atomic/1                                                   13       0.013       0.013     
:v3_kernel.translate_match_fail/4                                    1       0.013       0.001     
:v3_kernel.new_clauses/3                                             1       0.013       0.002     
:v3_kernel.is_atomic/1                                              13       0.013       0.013     
:v3_core.record_anno/2                                               1       0.013       0.002     
:v3_codegen.fetch_var/2                                              4       0.013       0.008     
:sys_core_fold.bsm_an/1                                              4       0.013       0.004     
:sets.maybe_expand/2                                                 4       0.013       0.008     
:maps.size/1                                                        13       0.013       0.013     
:filename.dirname/4                                                  7       0.013       0.010     
:erl_lint.check_functions_without_spec/2                             1       0.013       0.003     
:erl_lint."-bif_clashes/2-lc$^0/1-0-"/1                              7       0.013       0.011     
:erl_bits.check_size_unit/3                                         13       0.013       0.013     
:cerl_sets.new/0                                                    13       0.013       0.013     
:cerl.is_lit_list/1                                                 11       0.013       0.013     
:beam_except.translate_1/5                                           1       0.013       0.002     
:beam_block.move_allocates_1/2                                      13       0.013       0.013     
:zlib.deflateEnd/1                                                   1       0.012       0.002     
:zlib."-compress/1-after$^0/0-0-"/1                                  1       0.012       0.001     
:v3_kernel.translate_match_fail_1/4                                  1       0.012       0.004     
:v3_kernel.select_bin_con_1/1                                        1       0.012       0.003     
:v3_core."-constant_bin_1/1-anonymous-0-"/2                         12       0.012       0.012     
:v3_codegen.find_scratch_reg/2                                      12       0.012       0.012     
:sys_pre_expand.module_attrs/1                                       1       0.012       0.005     
:sys_core_fold.update_let_types/3                                    6       0.012       0.006     
:sys_core_fold.get_type/2                                            4       0.012       0.008     
:sys_core_fold.fold_call_1/5                                         4       0.012       0.008     
:sys_core_dsetel."-visit/2-anonymous-3-"/2                           1       0.012       0.001     
:lists.rkeymerge2_1/6                                                4       0.012       0.006     
:erlang.open_port/2                                                  1       0.012       0.003     
:erl_lint.pack_warnings/1                                            2       0.012       0.006     
:erl_bits.as_list/1                                                 12       0.012       0.012     
:erl_anno.reset_simplify/1                                           5       0.012       0.007     
:erl_anno.is_settable/2                                              5       0.012       0.007     
:beam_validator.val_dsetel/2                                        12       0.012       0.012     
:beam_validator.kill_state/1                                         4       0.012       0.008     
:beam_validator.kill_heap_allocation/1                               4       0.012       0.008     
:beam_type.flt_alloc/2                                              12       0.012       0.012     
:beam_jump.drop_upto_label/1                                        12       0.012       0.012     
:zlib.close/1                                                        1       0.011       0.002     
:v3_life."-expr/3-lc$^0/1-10-"/1                                     5       0.011       0.009     
:v3_codegen.select_labels/4                                          2       0.011       0.005     
:sofs.diff_restrict_n/5                                              6       0.011       0.006     
:erlang.list_to_atom/1                                               9       0.011       0.011     
:erl_lint.pack_errors/1                                              1       0.011       0.003     
:erl_lint."-nowarn_function/2-lc$^0/1-0-"/2                         10       0.011       0.011     
:erl_lint."-not_deprecated/2-lc$^1/1-1-"/3                           2       0.011       0.003     
:erl_expand_records.expr/2                                           3       0.011       0.004     
:dict.mk_seg/1                                                      11       0.011       0.011     
:cerl_clauses.match_list/2                                           5       0.011       0.005     
:cerl.type/1                                                        11       0.011       0.011     
:beam_dict."-literal_table/1-anonymous-1-"/3                         2       0.011       0.006     
:beam_bsm.btb_index_find_start_match/1                               4       0.011       0.005     
:v3_kernel.pre_seq/2                                                 9       0.010       0.010     
:v3_kernel.is_remote_bif/3                                           2       0.010       0.006     
:v3_core.upattern/3                                                  4       0.010       0.007     
:v3_core.uguard/4                                                    8       0.010       0.009     
:v3_core.annotate_tuple/3                                            1       0.010       0.002     
:v3_core."-lit_list_vars/2-anonymous-0-"/2                           4       0.010       0.004     
:v3_codegen.x0_vars/4                                                1       0.010       0.004     
:v3_codegen.need_heap_1/2                                           10       0.010       0.010     
:v3_codegen.move_unsaved/3                                           5       0.010       0.005     
:v3_codegen.cg_reg_args/2                                            1       0.010       0.001     
:sys_core_fold."-case_opt_args/5-lc$^0/1-0-"/1                       6       0.010       0.010     
:sofs.set/2                                                          1       0.010       0.002     
:filename.basename/4                                                 7       0.010       0.007     
:erl_lint.unused_vars/3                                              2       0.010       0.004     
:erl_lint.check_imports/2                                            1       0.010       0.002     
:erl_lint."-compiler_options/1-lc$^0/1-0-"/1                         7       0.010       0.010     
:erl_expand_records.head/2                                           2       0.010       0.002     
:beam_validator.verify_y_init/1                                      2       0.010       0.004     
:beam_utils.live_join_label/3                                        2       0.010       0.004     
:beam_type.x_live/2                                                 10       0.010       0.010     
:beam_jump.label_used/2                                              2       0.010       0.006     
:beam_dict.new/0                                                     1       0.010       0.005     
:beam_block.is_killed_or_used/2                                      2       0.010       0.006     
:v3_kernel."-op_vars/1-lc$^0/1-0-"/1                                 9       0.009       0.009     
:v3_codegen.max_reg/1                                                1       0.009       0.002     
:v3_codegen.build_enter/3                                            3       0.009       0.006     
:v3_codegen.allocate_x0/3                                            3       0.009       0.006     
:v3_codegen."-unsaved_registers/5-lc$^0/1-0-"/5                      9       0.009       0.009     
:v3_codegen."-saves/3-lc$^0/1-0-"/3                                  9       0.009       0.009     
:v3_codegen."-save_stack/4-lc$^1/1-1-"/1                             9       0.009       0.009     
:v3_codegen."-cg_reg_args/2-lc$^0/1-0-"/2                            3       0.009       0.006     
:sys_core_fold.bsm_an_1/2                                            1       0.009       0.002     
:sofs.restrict/2                                                     1       0.009       0.001     
:sofs.relative_product1/2                                            1       0.009       0.004     
:sofs.diff_restrict_n/6                                              4       0.009       0.004     
:sets.get_bucket/2                                                   4       0.009       0.005     
:erts_internal.open_port/2                                           1       0.009       0.009     
:erlang.put/2                                                        9       0.009       0.009     
:erlang.port_close/1                                                 1       0.009       0.003     
:erlang.iolist_to_binary/1                                           9       0.009       0.009     
:erlang.atom_to_list/1                                               8       0.009       0.009     
:erl_lint.check_untyped_records/2                                    1       0.009       0.002     
anonymous fn/2 in :erl_lint.vtmerge/1                                3       0.009       0.003     
:erl_lint."-local_functions/1-lc$^0/1-0-"/1                          7       0.009       0.009     
:erl_lint."-check_unused_functions/2-lc$^0/1-0-"/1                   7       0.009       0.009     
:compile.standard_passes/0                                           1       0.009       0.003     
:compile.compile_options/1                                           7       0.009       0.009     
:compile."-core_passes/0-anonymous-7-"/1                             1       0.009       0.001     
:compile."-asm_passes/0-anonymous-0-"/1                              1       0.009       0.002     
:beam_dead.shortcut_rel_op_fp/3                                      1       0.009       0.003     
:beam_dead.normalize_op/1                                            2       0.009       0.002     
:beam_clean."-rootset/3-lc$^0/1-0-"/1                                5       0.009       0.009     
:beam_clean."-module/2-lc$^0/1-0-"/1                                 5       0.009       0.009     
:v3_life."-function/1-lc$^0/1-1-"/1                                  6       0.008       0.008     
:v3_life."-function/1-lc$^0/1-0-"/1                                  6       0.008       0.008     
:v3_life."-expr/3-lc$^0/1-6-"/3                                      6       0.008       0.008     
:v3_kernel.handle_reuse_annos/2                                      1       0.008       0.001     
:v3_kernel."-ubody/3-anonymous-1-"/2                                 2       0.008       0.004     
:v3_core.lit_list_vars/2                                             2       0.008       0.002     
:v3_core.cguard/2                                                    8       0.008       0.008     
:v3_codegen.sr_merge/2                                               2       0.008       0.005     
:v3_codegen.load_vars/2                                              4       0.008       0.004     
:sys_pre_expand.pattern_list/2                                       4       0.008       0.006     
:sys_pre_expand."-module/2-lc$^0/1-0-"/1                             7       0.008       0.008     
:sys_core_dsetel.visit_pats/3                                        4       0.008       0.006     
:sofs.to_external/1                                                  8       0.008       0.008     
:sofs.restrict/4                                                     5       0.008       0.005     
anonymous fn/2 in :sets.add_element/2                                4       0.008       0.004     
:orddict.store/3                                                     8       0.008       0.008     
:filename.basename1/3                                                7       0.008       0.008     
:erl_lint.func_line_error/3                                          3       0.008       0.004     
:erl_lint.check_undefined_types/1                                    1       0.008       0.003     
:erl_lint."-start/2-lc$^1/1-1-"/1                                    4       0.008       0.008     
:erl_lint."-disallowed_compile_flags/2-lc$^0/1-0-"/2                 7       0.008       0.008     
:erl_lint."-check_unused_types/2-lc$^0/1-0-"/1                       7       0.008       0.008     
:erl_lint."-check_unused_records/2-lc$^0/1-0-"/1                     7       0.008       0.008     
:erl_lint."-check_deprecated/2-lc$^0/1-0-"/3                         7       0.008       0.008     
:erl_expand_records.pattern_list/2                                   4       0.008       0.006     
:erl_expand_records.optimize_is_record/3                             2       0.008       0.004     
:erl_expand_records.expr_bin/2                                       1       0.008       0.001     
:erl_expand_records."-compiler_options/1-lc$^0/1-0-"/1               7       0.008       0.008     
:dict.find_val/2                                                     8       0.008       0.008     
:dict.fetch_val/2                                                    8       0.008       0.008     
:compile.core_transforms/1                                           1       0.008       0.002     
:compile."-test_old_inliner/1-anonymous-0-"/1                        8       0.008       0.008     
:compile."-test_core_inliner/1-anonymous-1-"/1                       8       0.008       0.008     
:compile."-test_core_inliner/1-anonymous-0-"/1                       8       0.008       0.008     
:compile."-messages_per_file/1-anonymous-5-"/1                       2       0.008       0.002     
:compile."-expand_opts/1-anonymous-0-"/2                             4       0.008       0.004     
:cerl_clauses.match_list/3                                           4       0.008       0.005     
:cerl.update_c_clause/4                                              8       0.008       0.008     
:cerl.lit_list_vals/1                                                5       0.008       0.008     
:cerl.is_literal/1                                                   8       0.008       0.008     
:cerl.data_es/1                                                      2       0.008       0.004     
:cerl.clause_pats/1                                                  8       0.008       0.008     
:cerl.clause_guard/1                                                 8       0.008       0.008     
:cerl.clause_body/1                                                  8       0.008       0.008     
:cerl.case_clauses/1                                                 8       0.008       0.008     
:beam_validator.merge_y_regs/2                                       1       0.008       0.005     
:beam_utils.empty_label_index/0                                      4       0.008       0.004     
:zlib.collect/1                                                      1       0.007       0.001     
:v3_life.literal/2                                                   5       0.007       0.007     
:v3_kernel.new_var_name/1                                            1       0.007       0.004     
:v3_kernel."-new_clauses/3-anonymous-3-"/2                           1       0.007       0.004     
:v3_kernel."-handle_reuse_annos/2-lc$^0/1-0-"/2                      2       0.007       0.004     
:v3_core.is_safe/1                                                   7       0.007       0.007     
:v3_core."-uexpr/3-anonymous-5-"/2                                   3       0.007       0.003     
:v3_codegen.collect_chain/4                                          7       0.007       0.007     
:sys_pre_expand."-module/2-lc$^0/1-1-"/1                             4       0.007       0.007     
:sys_core_fold.sub_subst_var/3                                       2       0.007       0.004     
:sys_core_fold.make_var_name/0                                       1       0.007       0.004     
:sys_core_fold.bsm_leftmost_1/2                                      3       0.007       0.003     
:ordsets.add_element/2                                               7       0.007       0.007     
:lists.rkeymerge2_2/7                                                2       0.007       0.005     
:lists.filter/2                                                      1       0.007       0.001     
:gb_trees.update_1/3                                                 7       0.007       0.007     
:erlang.throw/1                                                      5       0.007       0.007     
:erlang.system_info/1                                                6       0.007       0.007     
:erlang.erase/1                                                      7       0.007       0.007     
:erlang.--/2                                                         7       0.007       0.007     
:erl_lint.imported/3                                                 2       0.007       0.005     
:erl_bits.check_unit/1                                               7       0.007       0.007     
:dict.store_bkt_val/3                                                7       0.007       0.007     
:compile.test_native/1                                               1       0.007       0.001     
:compile.objfile/2                                                   1       0.007       0.002     
:cerl.is_data/1                                                      7       0.007       0.007     
:cerl.is_c_values/1                                                  7       0.007       0.007     
:beam_dead.shortcut_bs_test/3                                        1       0.007       0.002     
:beam_dead.normalize_op_1/3                                          1       0.007       0.004     
:beam_asm.flatten_exports/1                                          1       0.007       0.005     
:beam_asm.finalize_fun_table_1/2                                     7       0.007       0.007     
:beam_asm.encode_line_items/2                                        2       0.007       0.005     
:zlib.collect/2                                                      2       0.006       0.003     
:v3_kernel.is_enter_expr/1                                           6       0.006       0.006     
:v3_kernel.handle_reuse_anno/2                                       2       0.006       0.004     
:v3_core."-uexpr/3-anonymous-0-"/2                                   2       0.006       0.002     
:v3_codegen.save_carefully/3                                         2       0.006       0.004     
:v3_codegen.combine/1                                                4       0.006       0.006     
:v3_codegen."-save_carefully/4-lc$^0/1-0-"/4                         6       0.006       0.006     
:sys_pre_expand."-module/2-anonymous-2-"/2                           6       0.006       0.006     
:sys_pre_expand."-bin_expand_strings/1-anonymous-0-"/5               6       0.006       0.006     
:sys_core_fold.will_fail/1                                           6       0.006       0.006     
:sys_core_fold.update_let_types_1/3                                  6       0.006       0.006     
:sys_core_fold.opt_simple_let_2/7                                    6       0.006       0.006     
:sys_core_fold.move_let_into_expr/3                                  6       0.006       0.006     
:sys_core_fold.matches_data/2                                        6       0.006       0.006     
:sys_core_fold.bsm_leftmost_2/4                                      4       0.006       0.004     
:sys_core_fold."-let_substs/3-lc$^0/1-0-"/1                          6       0.006       0.006     
:sys_core_dsetel.bind_vars/3                                         6       0.006       0.006     
:sys_core_dsetel."-visit/2-anonymous-4-"/2                           3       0.006       0.003     
:sofs.restrict/5                                                     3       0.006       0.003     
:sets.new/0                                                          2       0.006       0.004     
:maps.put/3                                                          6       0.006       0.006     
:lists."-filter/2-lc$^0/1-0-"/2                                      2       0.006       0.003     
:filename.maybe_remove_dirsep/2                                      1       0.006       0.002     
:eval_bits.eval_exp_field/6                                          6       0.006       0.006     
:erts_internal.port_close/1                                          1       0.006       0.006     
:erlang.term_to_binary/1                                             2       0.006       0.006     
:erlang.integer_to_list/1                                            6       0.006       0.006     
:erl_lint.vtmerge/2                                                  3       0.006       0.003     
:erl_lint.start_state/2                                              1       0.006       0.004     
:erl_lint.pseudolocals/0                                             6       0.006       0.006     
:erl_bifs.is_exit_bif/3                                              6       0.006       0.006     
:dict.to_list/1                                                      2       0.006       0.002     
:dict.fetch_keys/1                                                   2       0.006       0.002     
:compile.mpf/1                                                       2       0.006       0.004     
:compile.is_native_enabled/1                                         5       0.006       0.006     
:compile.core_passes/0                                               1       0.006       0.002     
:cerl.c_let/3                                                        6       0.006       0.006     
:beam_type.verify_type/1                                             6       0.006       0.006     
:beam_type.tdb_find/2                                                2       0.006       0.004     
:beam_split.make_block/2                                             4       0.006       0.005     
:beam_peep.is_test_redundant/3                                       1       0.006       0.002     
:beam_except.dig_out/2                                               1       0.006       0.002     
:beam_dict."-literal_table/1-lc$^0/1-0-"/1                           3       0.006       0.006     
:beam_dict."-line_table/1-lc$^0/1-0-"/1                              3       0.006       0.006     
:beam_dict."-import_table/1-lc$^0/1-0-"/1                            3       0.006       0.006     
:beam_asm.on_load/2                                                  1       0.006       0.004     
:v3_life.vdb_update_vars/3                                           3       0.005       0.005     
:v3_kernel.expand_pat_lit_clause/2                                   1       0.005       0.003     
:v3_kernel."-partition/1-anonymous-0-"/2                             1       0.005       0.002     
:v3_codegen.top_level_block/4                                        5       0.005       0.005     
:v3_codegen.put_reg_1/3                                              4       0.005       0.005     
:v3_codegen.move_unsaved/4                                           5       0.005       0.005     
:v3_codegen.make_reservation/2                                       3       0.005       0.005     
:v3_codegen.find_reg/2                                               5       0.005       0.005     
:unicode.characters_to_binary/1                                      1       0.005       0.003     
:sys_core_fold.get_line/1                                            5       0.005       0.005     
:sofs.relprod/2                                                      1       0.005       0.003     
:sofs.rel2family/1                                                   5       0.005       0.005     
:maps.to_list/1                                                      5       0.005       0.005     
:filename.major_os_type/0                                            1       0.005       0.002     
:erlang.term_to_binary/2                                             2       0.005       0.005     
:erlang.port_command/2                                               1       0.005       0.002     
:erlang.list_to_tuple/1                                              5       0.005       0.005     
:erl_anno.simplify/1                                                 5       0.005       0.005     
:erl_anno.is_filename/1                                              5       0.005       0.005     
:erl_anno.default/2                                                  5       0.005       0.005     
:compile.report_warnings/1                                           1       0.005       0.003     
:compile.pass/1                                                      4       0.005       0.005     
:compile.outfile/3                                                   1       0.005       0.003     
:compile."-transform_module/1-lc$^0/1-0-"/1                          5       0.005       0.005     
:compile."-core_transforms/1-lc$^0/1-0-"/1                           5       0.005       0.005     
:cerl.make_list/1                                                    1       0.005       0.001     
:beam_validator.get_fls/1                                            5       0.005       0.005     
:beam_validator.check_limit/1                                        5       0.005       0.005     
:beam_flatten.norm/1                                                 5       0.005       0.005     
:beam_dead.shortcut_label/2                                          1       0.005       0.002     
:beam_asm.build_form/2                                               1       0.005       0.003     
:v3_life."-expr/3-lc$^0/1-7-"/1                                      4       0.004       0.004     
:v3_kernel.maybe_add_warning/3                                       4       0.004       0.004     
:v3_kernel."-uexpr/3-anonymous-23-"/2                                1       0.004       0.002     
:v3_kernel."-ubody/3-anonymous-0-"/2                                 1       0.004       0.002     
:v3_kernel."-module/2-anonymous-0-"/1                                4       0.004       0.004     
:v3_core.guard/2                                                     4       0.004       0.004     
:v3_core."-module/2-anonymous-0-"/1                                  4       0.004       0.004     
:v3_codegen.find_loc/3                                               4       0.004       0.004     
:v3_codegen."-cg_fun/7-anonymous-0-"/2                               2       0.004       0.002     
:sys_pre_expand.get_optional_callbacks/1                             1       0.004       0.002     
:sys_core_fold.useless_call/2                                        4       0.004       0.004     
:sys_core_fold.move_case_into_arg/2                                  4       0.004       0.004     
:sys_core_dsetel."-visit/2-anonymous-7-"/2                           2       0.004       0.002     
:sofs.rel_type/3                                                     1       0.004       0.003     
:sofs.family_to_relation/1                                           1       0.004       0.002     
:sofs.converse/1                                                     1       0.004       0.002     
