Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
:elixir_errors.form_warn/4                                           1       0.565       0.003     
:beam_validator.valfun_2/2                                          11       0.561       0.012     
:elixir_locals.if_tracker/3                                          3       0.557       0.011     
:beam_jump.rem_unused/3                                            295       0.551       0.377     
:v3_life.body/3                                                     18       0.549       0.073     
:beam_validator.valfun_3/2                                          11       0.549       0.024     
:gen.call/4                                                         12       0.540       0.016     
:beam_clean.bs_fix/1                                                 2       0.536       0.002     
:beam_clean.bs_fix/2                                                 9       0.534       0.019     
:gen.do_for_proc/2                                                  12       0.524       0.024     
:beam_validator.valfun_4/2                                          11       0.514       0.021     
:beam_jump.opt/3                                                    77       0.511       0.214     
:beam_clean.bs_function/1                                            7       0.509       0.046     
:beam_type.simplify_basic_1/3                                      143       0.507       0.287     
:erl_lint.spec_decl/4                                                1       0.505       0.004     
:elixir_def.unwrap_definitions/2                                     1       0.500       0.008     
:v3_life.expr/3                                                     18       0.491       0.075     
anonymous fn/4 in :gen.call/4                                       12       0.489       0.015     
:gb_trees.balance_list/2                                            66       0.482       0.142     
:erlang.++/2                                                       467       0.479       0.479     
:elixir_locals.warn_unused_local/3                                   1       0.477       0.001     
:v3_core.safe_list/2                                                 5       0.475       0.005     
:gen.do_call/4                                                      12       0.474       0.112     
:erl_lint.bool_option/4                                             28       0.474       0.032     
:beam_bsm.module/2                                                   2       0.474       0.009     
:erl_lint.check_specs/4                                              2       0.471       0.004     
:beam_jump."-remove_unused_labels/1-anonymous-0-"/2                214       0.470       0.215     
anonymous fn/3 in :elixir_locals.warn_unused_local/3                 1       0.467       0.004     
:compile."-standard_passes/0-anonymous-4-"/1                         1       0.463       0.001     
anonymous fn/5 in :elixir_module.load_form/5                         1       0.462       0.005     
:compile.save_abstract_code/1                                        1       0.462       0.003     
:beam_trim.module/2                                                  2       0.462       0.005     
Module.LocalsTracker.collect_unused_locals/2                         1       0.461       0.006     
:v3_core.lineno_anno/2                                              49       0.460       0.215     
:v3_kernel.match_guard/3                                             5       0.459       0.015     
:compile.abstract_code/1                                             1       0.458       0.004     
:beam_bs.bsm_opt/2                                                   7       0.458       0.028     
:v3_codegen.match_fmf/4                                              2       0.457       0.002     
:beam_trim."-module/2-lc$^0/1-0-"/1                                  9       0.457       0.024     
:v3_kernel.match_guard_1/3                                           5       0.455       0.025     
:v3_codegen."-match_cg/5-anonymous-1-"/6                             2       0.455       0.002     
:erl_parse.anno_to_term/1                                            1       0.452       0.002     
:code.delete/1                                                       1       0.452       0.002     
:beam_block.opt_blocks/1                                            71       0.443       0.144     
:v3_core.expr_bin/3                                                  1       0.439       0.002     
:v3_core.constant_bin/1                                              1       0.437       0.002     
:v3_core.constant_bin_1/1                                            1       0.435       0.004     
:erl_lint.check_type/2                                               1       0.435       0.003     
:beam_clean.function_replace/3                                      27       0.434       0.053     
:beam_trim.function/1                                                7       0.433       0.029     
:sys_core_fold.clause/4                                             10       0.432       0.020     
:beam_jump.initial_labels/2                                        108       0.432       0.108     
:v3_core."-safe_list/2-anonymous-0-"/2                              18       0.429       0.054     
